timestamp,responseTime,testname,repeatTestCount,index,orderOfMagnitude.name,orderOfMagnitude.value,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,baseURL,concurrentUsers,currentIteration,telemetryStatus,requests,url,delay,total_heap_size_before,total_heap_size_executable_before,used_heap_size_before,heap_size_limit_before,malloced_memory_before,total_heap_size_after,total_heap_size_executable_after,used_heap_size_after,heap_size_limit_after,malloced_memory_after
2024-12-21T20:35:27.798Z,131.616,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:28.051Z,137.125,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:28.299Z,126.44,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:28.550Z,147.298,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:28.799Z,126.071,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:29.049Z,141.868,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:29.302Z,115.842,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:29.553Z,144.278,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:29.801Z,117.942,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
2024-12-21T20:35:30.052Z,136.523,Jaeger Comparison,1,Telemetry,large,88000,100,250,http://localhost:8080,1,1,UNKNOWN,200,http://localhost:8080/api/v1/stress/88000/88000,250,56.656,1.5,34.166,1048,1.031,88.801,2.25,45.233,1048,2.031
