timestamp,responseTime,testname,baseURL,repeatTestCount,minutesPerTest,concurrentUsers,agreementId,telemetryInApp,orderOfMagnitude.value,orderOfMagnitude.name,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,currentIteration,telemetryStatus,requests,url,delay,total_heap_size_before,total_heap_size_executable_before,used_heap_size_before,heap_size_limit_before,malloced_memory_before,total_heap_size_after,total_heap_size_executable_after,used_heap_size_after,heap_size_limit_after,malloced_memory_after
2024-09-04T20:46:48.697Z,981.822,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.697Z,935.604,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.697Z,897.346,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.697Z,1958.136,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.697Z,900.408,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.697Z,906.022,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.697Z,911.823,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.697Z,1980.744,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.697Z,895.446,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.698Z,906.663,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.698Z,867.193,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.698Z,1926.444,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.698Z,878.576,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
2024-09-04T20:46:48.698Z,887.817,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,1,small,1500,3000,3,UNKNOWN,15,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-01T05:59:59.999Z&newPeriodsFromGuarantees=false,3000,92.598,1.297,66.594,2048,0.094,135.035,1.844,105.643,2048,0.094
timestamp,responseTime,testname,baseURL,repeatTestCount,minutesPerTest,concurrentUsers,agreementId,telemetryInApp,orderOfMagnitude.value,orderOfMagnitude.name,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,currentIteration,telemetryStatus,requests,url,delay,total_heap_size_before,total_heap_size_executable_before,used_heap_size_before,heap_size_limit_before,malloced_memory_before,total_heap_size_after,total_heap_size_executable_after,used_heap_size_after,heap_size_limit_after,malloced_memory_after
2024-09-04T20:47:46.465Z,4855.552,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,96,medium,4500,6000,1,UNKNOWN,7,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-05T04:59:59.999Z&newPeriodsFromGuarantees=false,6000,91.602,1.297,61.741,2048,0.094,217.484,2.344,197.164,2048,0.418
2024-09-04T20:47:46.465Z,3199.924,TC-001 Registry Enabler,http://localhost:5400,3,1,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,true,96,medium,4500,6000,1,UNKNOWN,7,http://localhost:5400/api/v6/states/tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0/guarantees?from=2024-02-01T05:00:00.000Z&to=2024-02-05T04:59:59.999Z&newPeriodsFromGuarantees=false,6000,91.602,1.297,61.741,2048,0.094,217.484,2.344,197.164,2048,0.418
