timestamp,testname,minutesPerTest,repeatTestCount,telemetryInApp,orderOfMagnitude.name,orderOfMagnitude.value,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,baseURL,concurrentUsers,agreementId,currentIteration,telemetryStatus,cpu_usage,memory_usage,memory_limit
2024-09-06T13:10:42.809Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,1,UNKNOWN,25333197311,192499712,4194304000
2024-09-06T13:10:43.811Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,1,UNKNOWN,25752071626,204525568,4194304000
2024-09-06T13:10:44.815Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,1,UNKNOWN,26329815096,211378176,4194304000
2024-09-06T13:10:45.817Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,1,UNKNOWN,27391804155,206569472,4194304000
2024-09-06T13:10:46.821Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,1,UNKNOWN,27764617912,205193216,4194304000
2024-09-06T13:10:47.823Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,1,UNKNOWN,27930991635,210063360,4194304000
2024-09-06T13:10:48.826Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,1,UNKNOWN,28990158513,203862016,4194304000
timestamp,testname,minutesPerTest,repeatTestCount,telemetryInApp,orderOfMagnitude.name,orderOfMagnitude.value,orderOfMagnitude.estimatedResponseTime,orderOfMagnitude.secureResponseTime,baseURL,concurrentUsers,agreementId,currentIteration,telemetryStatus,cpu_usage,memory_usage,memory_limit
2024-09-06T13:11:05.355Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,4517154798,119754752,4194304000
2024-09-06T13:11:06.359Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,5369357238,141467648,4194304000
2024-09-06T13:11:07.361Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,5445145527,147673088,4194304000
2024-09-06T13:11:08.366Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,6465819335,175255552,4194304000
2024-09-06T13:11:09.368Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,7570079312,145547264,4194304000
2024-09-06T13:11:10.370Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,8062948303,179593216,4194304000
2024-09-06T13:11:11.373Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,8089896392,179740672,4194304000
2024-09-06T13:11:12.375Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,9204141680,167063552,4194304000
2024-09-06T13:11:13.379Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,9682838115,195039232,4194304000
2024-09-06T13:11:14.381Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,9715484127,201986048,4194304000
2024-09-06T13:11:15.384Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,10831131093,179208192,4194304000
2024-09-06T13:11:16.388Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,11342130916,196964352,4194304000
2024-09-06T13:11:17.390Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,11400338310,207425536,4194304000
2024-09-06T13:11:18.393Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,12116685158,178593792,4194304000
2024-09-06T13:11:19.396Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,12447080942,184377344,4194304000
2024-09-06T13:11:20.399Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,13018256302,209137664,4194304000
2024-09-06T13:11:21.401Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,14097339772,188362752,4194304000
2024-09-06T13:11:22.405Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,14548276848,195727360,4194304000
2024-09-06T13:11:23.408Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,14673010009,208416768,4194304000
2024-09-06T13:11:24.411Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,15719374244,193327104,4194304000
2024-09-06T13:11:25.414Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,16147533365,196521984,4194304000
2024-09-06T13:11:26.416Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,16230343975,207613952,4194304000
2024-09-06T13:11:27.419Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,17265321969,196300800,4194304000
2024-09-06T13:11:28.422Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,17705779477,197431296,4194304000
2024-09-06T13:11:29.425Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,17803015387,208248832,4194304000
2024-09-06T13:11:30.429Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,18547530707,188383232,4194304000
2024-09-06T13:11:31.431Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,18845734363,191905792,4194304000
2024-09-06T13:11:32.433Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,19491517163,208637952,4194304000
2024-09-06T13:11:33.436Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,20533992990,200908800,4194304000
2024-09-06T13:11:34.440Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,20964022452,201515008,4194304000
2024-09-06T13:11:35.443Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,21106724470,210018304,4194304000
2024-09-06T13:11:36.445Z,TC-001 Registry Enabler,1,3,true,small,1,1500,3000,http://localhost:5400,1,tpa-Load-test-GH-motero2k_Bluejay-test-TPA-23-24-v0,2,UNKNOWN,22130780432,201764864,4194304000
